Job_ID,Skills,Years_of_Experience,Predicted_Job_Title,Company_Name,Company_Location,Industry,Salary (USD),Education_Level
JOB0001,"Kubernetes, Excel, Node.js, JavaScript",11,Technical Lead,Capgemini,New York,Healthcare,156000,BTech
JOB0002,"CSS, AWS, Docker, Node.js, Tableau, Django",5,Full Stack Developer,Accenture,Boston,Education,122000,"BTech, Masters"
JOB0003,"Tableau, Node.js, HTML, Excel",10,Lead DevOps Engineer,Microsoft,Austin,Finance,194000,Masters
JOB0004,"Django, JavaScript, Data Analysis, Node.js, Kubernetes, Java",5,Senior Software Engineer,Facebook,New York,Telecom,138000,BTech
JOB0005,"Power BI, Flask, Python",8,Lead DevOps Engineer,Amazon,San Francisco,E-commerce,180000,"Masters, BTech"
JOB0006,"Node.js, C++, Docker, AWS",1,AI Engineer,Accenture,Berlin,Telecom,73000,BTech
JOB0007,"CSS, React, Flask, SQL, HTML, AWS",14,Business Intelligence Analyst,Google,New York,Finance,174000,BTech
JOB0008,"Node.js, Tableau, HTML",10,Senior Web Developer,Microsoft,Boston,Finance,183000,"Masters, BTech"
JOB0009,"Node.js, HTML, Django, SQL, CSS",3,Technical Lead,IBM,San Francisco,Finance,86000,"Masters, BTech"
JOB0010,"Node.js, Excel, CSS, Power BI, C++",2,Senior Software Engineer,Cognizant,Austin,Finance,108000,Diploma
JOB0011,"Flask, AWS, React, Django, Tableau",10,Full Stack Developer,Accenture,Austin,Telecom,156000,Diploma
JOB0012,"SQL, Python, AWS, Django, Data Analysis, CSS",2,Business Intelligence Analyst,Accenture,Austin,E-commerce,62000,BTech
JOB0013,"Node.js, HTML, CSS, JavaScript",3,Full Stack Developer,Accenture,Seattle,IT,96000,"Masters, BTech"
JOB0014,"Excel, Node.js, Java, JavaScript, Machine Learning, AWS",7,Lead DevOps Engineer,Accenture,Seattle,Finance,148000,Diploma
JOB0015,"C++, Flask, JavaScript",9,Technical Lead,Amazon,New York,Finance,164000,"BTech, Masters"
JOB0016,"Kubernetes, Tableau, CSS",1,Senior Software Engineer,IBM,Seattle,Finance,60000,"BTech, Masters"
JOB0017,"Data Analysis, Django, Flask",2,Technical Lead,Cognizant,New York,Healthcare,74000,"Masters, BTech"
JOB0018,"AWS, HTML, Docker, SQL, Excel",2,Data Engineer,IBM,Boston,Finance,91000,Diploma
JOB0019,"Tableau, Node.js, AWS",6,Full Stack Developer,Accenture,Berlin,IT,111000,"Masters, BTech"
JOB0020,"JavaScript, Java, Docker",2,Lead DevOps Engineer,Microsoft,New York,Healthcare,87000,"BTech, Masters"
JOB0021,"Django, Python, Java, Node.js, React",2,Business Intelligence Analyst,Capgemini,Seattle,Finance,102000,BTech
JOB0022,"SQL, HTML, CSS, Flask, Data Analysis",14,Technical Lead,Google,San Francisco,Finance,172000,"Masters, BTech"
JOB0023,"Python, Java, Django, Tableau, SQL",4,Full Stack Developer,IBM,London,IT,109000,Diploma
JOB0024,"C++, CSS, SQL, Machine Learning, React, Kubernetes",4,Full Stack Developer,Amazon,London,E-commerce,109000,"Masters, BTech"
JOB0025,"Kubernetes, Power BI, Flask, JavaScript",14,AI Engineer,Amazon,New York,E-commerce,198000,BTech
JOB0026,"Data Analysis, Kubernetes, Docker, AWS",9,Senior Software Engineer,Microsoft,Seattle,Telecom,178000,BTech
JOB0027,"CSS, Data Analysis, Power BI",13,Data Engineer,Facebook,New York,Education,191000,"Masters, BTech"
JOB0028,"Kubernetes, Python, Tableau, JavaScript, Machine Learning, SQL",11,Data Engineer,IBM,Austin,Telecom,158000,Diploma
JOB0029,"Machine Learning, Python, Tableau, Java, Kubernetes",2,Technical Lead,Infosys,New York,E-commerce,81000,BTech
JOB0030,"Flask, Docker, JavaScript, Power BI, Data Analysis",3,Senior Web Developer,Cognizant,San Francisco,Education,80000,Diploma
JOB0031,"Python, CSS, Machine Learning",14,Senior Web Developer,Infosys,Austin,E-commerce,173000,BTech
JOB0032,"React, Power BI, Python, Node.js, AWS, Machine Learning",6,Business Intelligence Analyst,Capgemini,New York,IT,128000,"Masters, BTech"
JOB0033,"C++, Flask, AWS, SQL, Power BI",3,Business Intelligence Analyst,Amazon,New York,Healthcare,105000,"Masters, BTech"
JOB0034,"Python, React, AWS, Kubernetes, Machine Learning",9,Full Stack Developer,Accenture,Boston,Education,184000,"Masters, BTech"
JOB0035,"Data Analysis, JavaScript, React, Docker, Flask, Java",10,Data Engineer,Capgemini,Chicago,Education,161000,"BTech, Masters"
JOB0036,"Machine Learning, C++, Kubernetes, Power BI",13,Full Stack Developer,Accenture,New York,Telecom,165000,"Masters, BTech"
JOB0037,"Node.js, SQL, HTML",3,Lead DevOps Engineer,Facebook,New York,IT,91000,Diploma
JOB0038,"Docker, Data Analysis, Django, Flask",2,Business Intelligence Analyst,Capgemini,Berlin,Telecom,80000,"BTech, Masters"
JOB0039,"Node.js, Kubernetes, Power BI, Tableau",2,Lead DevOps Engineer,IBM,Chicago,Healthcare,63000,BTech
JOB0040,"Flask, Kubernetes, Power BI",9,Data Engineer,Accenture,London,Telecom,177000,"Masters, BTech"
JOB0041,"SQL, C++, Excel, Tableau, Machine Learning, Flask",3,AI Engineer,Capgemini,Boston,Telecom,61000,Diploma
JOB0042,"Excel, Docker, Python, Data Analysis, Kubernetes, C++",13,Business Intelligence Analyst,Amazon,Boston,Finance,170000,"BTech, Masters"
JOB0043,"Django, HTML, Kubernetes, Docker, Tableau",6,Senior Software Engineer,Accenture,New York,Education,139000,"BTech, Masters"
JOB0044,"Power BI, Excel, Flask",12,Technical Lead,Capgemini,Boston,IT,199000,"Masters, BTech"
